id,cliente_id,fecha,estado,total
318,1509,2024-11-15,cancelado,656.09
319,1616,2024-03-26,cancelado,3447.0
320,1858,2025-08-02,pagado,378.86
321,1582,2025-08-04,pagado,1064.27
322,1356,2024-08-08,pagado,3834.97
323,1006,2024-12-25,cancelado,226.1
324,1663,2024-06-23,enviado,3745.87
325,278,2024-02-28,pendiente,402.67
326,1677,2024-12-09,enviado,4094.78
327,860,2024-02-14,entregado,3747.75
328,241,2025-12-01,cancelado,2305.92
329,1027,2025-03-09,enviado,3335.93
330,1425,2026-01-01,entregado,2407.16
331,1310,2025-09-23,cancelado,361.55
332,62,2025-06-29,cancelado,1657.57
333,537,2025-10-04,pendiente,704.55
334,1147,2025-01-06,enviado,2140.0
335,1421,2025-07-13,entregado,1999.12
336,1755,2025-05-02,pagado,1573.03
337,467,2024-10-28,cancelado,327.2
338,1762,2025-05-22,enviado,2371.61
339,316,2025-04-15,enviado,755.27
340,78,2025-10-31,pagado,2146.83
341,293,2025-04-08,cancelado,3534.65
342,1907,2024-10-09,cancelado,2546.59
343,1506,2024-07-10,cancelado,2504.63
344,644,2024-02-03,pagado,2501.23
345,187,2024-06-11,enviado,899.06
346,638,2024-02-15,enviado,926.22
347,1854,2025-12-21,entregado,811.06
348,137,2025-01-09,pagado,1348.21
349,320,2025-10-06,pagado,364.24
350,227,2025-11-25,cancelado,3644.93
351,423,2024-08-11,pendiente,1577.39
352,136,2025-06-10,pendiente,4073.53
353,1845,2024-05-17,enviado,3680.15
354,1486,2025-02-02,cancelado,2602.79
355,258,2026-01-08,entregado,3103.39
356,1039,2025-04-27,entregado,3930.49
357,1749,2024-07-30,entregado,1426.98
358,1362,2026-01-20,entregado,1295.03
359,1289,2024-03-27,enviado,1426.17
360,592,2026-01-23,enviado,376.27
361,1101,2025-11-14,pagado,700.8
362,1494,2025-12-02,enviado,1502.69
363,739,2025-10-16,pendiente,762.72
364,997,2025-04-29,pagado,200.56
365,424,2024-05-30,cancelado,1921.16
366,779,2026-01-30,pagado,2034.51
367,904,2024-01-12,pagado,4004.68
368,1432,2025-05-22,entregado,4033.49
369,598,2026-01-30,pagado,4080.27
370,1427,2024-06-14,pendiente,2844.73
371,664,2025-03-23,pagado,3147.46
372,1564,2026-02-01,pendiente,1379.42
373,1389,2024-03-24,cancelado,15.59
374,459,2025-06-08,entregado,2620.48
375,284,2024-08-26,pendiente,1496.43
376,294,2025-03-01,enviado,2472.94
377,1957,2026-02-12,enviado,3263.98
378,962,2024-04-20,pendiente,3366.23
379,747,2025-08-14,pagado,1549.57
380,1942,2024-08-26,pagado,240.5
381,1216,2024-03-23,enviado,1475.27
382,493,2025-04-13,pendiente,500.23
383,216,2024-06-20,pagado,4144.03
384,1781,2024-11-13,cancelado,3913.8
385,1716,2024-09-14,pendiente,671.88
386,14,2025-01-10,enviado,197.2
387,883,2024-11-28,cancelado,3077.95
388,1668,2025-02-01,pagado,2777.14
389,1777,2024-12-07,entregado,3751.43
390,1424,2024-05-28,enviado,2546.36
391,1527,2025-01-06,cancelado,469.62
392,1865,2024-07-20,enviado,236.02
393,1231,2026-02-10,entregado,3547.19
394,1823,2026-02-13,pagado,1645.0
395,579,2024-06-19,cancelado,4048.56
396,1582,2025-06-28,enviado,3759.88
397,199,2025-03-08,entregado,936.19
398,1722,2024-08-18,pagado,2400.26
399,1026,2024-08-16,cancelado,3672.3
400,734,2024-02-19,enviado,3121.39
401,100,2025-08-26,pagado,3187.47
402,160,2024-07-05,pagado,4066.55
403,509,2025-10-10,cancelado,596.28
404,1722,2024-07-23,enviado,819.91
405,498,2025-02-14,entregado,2939.03
406,620,2025-08-28,pagado,2857.26
407,1666,2024-07-19,cancelado,4107.25
408,1496,2024-05-01,pagado,462.85
409,1788,2025-07-29,pendiente,2071.97
410,189,2025-08-24,pagado,1544.17
411,1096,2025-08-11,entregado,812.07
412,562,2024-03-02,entregado,1638.78
413,1629,2025-05-09,cancelado,743.8
414,1860,2024-12-04,cancelado,624.39
415,764,2025-04-06,enviado,2038.95
416,120,2024-05-08,enviado,1075.79
417,967,2024-06-23,pagado,2437.56
418,735,2026-01-18,pagado,309.09
419,1435,2025-10-06,entregado,698.48
420,1643,2025-09-22,cancelado,4069.54
421,1425,2025-07-18,cancelado,3307.15
422,188,2025-10-07,cancelado,2136.53
423,276,2024-12-18,entregado,3269.45
424,994,2024-08-04,pagado,1078.47
425,27,2025-06-02,entregado,1767.63
426,205,2024-11-09,entregado,3289.9
427,506,2024-09-22,cancelado,295.72
428,1517,2024-06-12,enviado,277.49
429,435,2024-02-13,pagado,3372.46
430,1828,2024-05-26,pendiente,3051.49
431,1293,2024-07-15,cancelado,1108.5
432,538,2024-11-17,entregado,3637.49
433,1177,2024-10-08,pendiente,4127.85
434,1462,2026-01-30,cancelado,2428.9
435,862,2026-01-20,pagado,4124.58
436,1004,2024-01-31,pendiente,235.39
437,1194,2024-01-05,enviado,2155.51
438,1457,2026-02-03,pagado,165.65
439,614,2025-04-10,enviado,1551.92
440,1860,2025-04-19,enviado,3136.02
441,1588,2024-02-24,pagado,4170.34
442,1099,2024-01-02,cancelado,114.01
443,318,2024-11-01,enviado,3114.67
444,93,2025-05-03,pendiente,1687.46
445,733,2025-05-26,entregado,1001.58
446,1009,2025-02-02,enviado,2997.29
447,537,2025-11-18,entregado,1456.42
448,248,2024-04-16,entregado,2543.43
449,650,2024-02-02,enviado,2197.51
450,830,2025-01-07,cancelado,2657.86
451,1846,2025-01-20,enviado,2243.91
452,1535,2024-04-07,enviado,2025.48
453,1970,2026-01-01,cancelado,1193.61
454,1869,2024-05-29,pagado,3256.76
455,1266,2024-05-06,pagado,1292.55
456,1661,2024-12-10,cancelado,3119.27
457,1671,2025-04-03,entregado,2530.27
458,1710,2025-02-07,entregado,3713.03
459,235,2024-03-01,pendiente,2196.32
460,1665,2025-07-14,enviado,1197.39
461,362,2025-10-19,enviado,3938.49
462,1911,2024-05-26,enviado,20.65
463,1519,2024-07-16,pendiente,2157.61
464,700,2025-10-02,pendiente,3528.61
465,843,2024-06-01,pagado,1629.82
466,260,2025-06-17,entregado,1844.42
467,1278,2024-04-17,pendiente,4065.79
468,989,2024-10-14,entregado,3760.48
469,749,2024-07-11,cancelado,914.59
470,35,2025-04-28,pendiente,558.29
471,1768,2026-01-26,cancelado,2063.77
472,1265,2024-06-21,entregado,3104.37
473,519,2024-10-24,enviado,2305.29
474,713,2025-08-16,enviado,834.63
475,992,2026-02-20,entregado,533.5
476,836,2026-01-01,pagado,3194.61
477,955,2025-04-13,cancelado,1852.58
478,854,2024-06-25,enviado,1988.36
479,1141,2026-01-21,enviado,3058.29
480,124,2024-03-18,cancelado,1290.89
481,987,2024-11-07,entregado,88.39
482,911,2026-02-16,pagado,112.44
483,1986,2024-04-15,cancelado,1219.84
484,74,2024-06-07,entregado,975.49
485,530,2024-02-10,pendiente,2844.28
486,22,2025-11-11,pendiente,3388.35
487,1119,2025-07-04,pagado,3096.84
488,1360,2024-03-06,enviado,274.48
489,1239,2024-05-06,cancelado,2753.07
490,1208,2024-02-27,cancelado,953.27
491,1693,2025-12-15,enviado,1878.25
492,1734,2024-06-23,enviado,228.3
493,1135,2024-12-29,cancelado,1462.88
494,1495,2025-10-27,pendiente,448.07
495,1977,2024-06-21,enviado,3856.67
496,306,2024-12-15,entregado,1046.58
497,895,2025-07-26,cancelado,2664.51
498,1182,2024-02-26,entregado,4116.58
499,356,2025-01-31,cancelado,224.98
500,1125,2024-06-19,cancelado,4191.01
501,466,2026-02-23,enviado,1051.76
502,1874,2024-08-02,cancelado,1261.74
503,1256,2026-01-17,pagado,3290.45
504,1903,2024-07-31,enviado,2491.22
505,867,2024-05-19,pagado,2878.38
506,855,2026-03-08,pagado,394.96
507,1694,2024-11-22,entregado,2243.79
508,284,2025-02-14,cancelado,869.34
509,867,2025-07-28,entregado,2637.98
510,1517,2024-07-16,enviado,2642.78
511,1871,2026-02-03,entregado,1601.42
512,993,2024-01-14,pagado,2019.04
513,1028,2024-09-01,pagado,980.81
514,1628,2025-10-01,cancelado,1696.21
515,96,2025-03-28,pagado,292.24
516,462,2024-01-01,cancelado,3147.73
517,504,2025-05-31,cancelado,4139.75
518,431,2025-08-09,pagado,982.57
519,1668,2024-08-23,entregado,1934.9
520,417,2025-12-25,cancelado,1678.09
521,114,2024-12-03,cancelado,1746.51
522,6,2024-06-11,pendiente,1537.98
523,1387,2024-12-06,pagado,3528.73
524,57,2024-03-01,entregado,425.5
525,331,2024-10-24,enviado,4184.23
526,53,2025-08-18,entregado,3288.52
527,291,2025-08-07,pendiente,3200.2
528,495,2025-02-14,enviado,1904.85
529,1139,2026-01-18,cancelado,391.22
530,1515,2024-09-09,pagado,2359.57
531,1376,2024-05-28,enviado,1060.95
532,1826,2024-03-25,pendiente,3582.09
533,1403,2025-02-18,cancelado,3960.89
534,411,2024-07-26,pagado,3005.59
535,1032,2025-01-04,pagado,3148.22
536,1480,2024-12-04,pendiente,4165.71
537,1275,2025-04-08,entregado,278.75
538,19,2025-01-05,enviado,860.36
539,911,2025-10-20,cancelado,2554.43
540,953,2025-08-03,cancelado,3148.81
541,1444,2025-10-10,enviado,2288.36
542,777,2025-07-28,enviado,3122.55
543,476,2024-11-04,cancelado,786.52
544,838,2024-07-20,entregado,3542.53
545,101,2024-11-30,cancelado,2596.94
546,60,2024-06-15,entregado,2927.18
547,562,2024-10-14,entregado,1919.99
548,1976,2024-10-24,enviado,3658.04
549,566,2025-01-07,cancelado,1542.76
550,116,2024-12-02,enviado,3997.68
551,65,2024-02-19,pagado,2917.05
552,544,2025-06-10,pagado,3737.32
553,1144,2024-11-30,entregado,2298.85
554,1056,2024-04-09,pendiente,1125.41
555,1837,2025-04-18,pagado,405.98
556,1628,2025-02-21,pagado,2548.25
557,1762,2025-10-27,pendiente,683.41
558,764,2024-05-13,enviado,2403.05
559,451,2025-07-10,pendiente,1032.99
560,321,2024-06-02,cancelado,968.12
561,756,2025-03-04,pagado,4148.4
562,1516,2025-11-16,pagado,3567.01
563,1255,2024-08-15,pagado,3996.67
564,931,2024-11-25,enviado,1961.81
565,980,2025-11-07,cancelado,2572.91
566,1224,2025-08-31,entregado,3789.22
567,278,2025-08-28,pendiente,3047.77
568,320,2025-06-09,entregado,345.13
569,918,2025-05-09,cancelado,1378.22
570,666,2024-06-02,cancelado,2255.58
571,773,2024-11-06,pendiente,2381.46
572,855,2025-04-03,pagado,651.75
573,596,2025-05-16,cancelado,3021.9
574,916,2025-08-18,entregado,2494.66
575,677,2025-12-19,pagado,124.17
576,1758,2025-11-24,enviado,3039.12
577,61,2024-11-28,pendiente,2088.25
578,1194,2025-07-07,enviado,3481.13
579,632,2025-04-14,entregado,217.63
580,1653,2026-01-26,enviado,1347.05
581,1325,2024-03-28,pagado,765.24
582,1907,2024-08-26,cancelado,2182.8
583,103,2026-02-05,pendiente,3287.18
584,1495,2025-11-18,pendiente,3902.06
585,1779,2024-06-27,pendiente,3980.9
586,328,2024-03-18,pagado,130.28
587,653,2024-03-21,pagado,1683.31
588,1203,2026-01-27,pagado,3029.05
589,1238,2025-02-09,cancelado,3773.44
590,1149,2024-06-04,pendiente,2628.04
591,1768,2025-05-10,entregado,4080.95
592,1598,2024-06-03,pagado,2740.75
593,1134,2024-03-24,entregado,2606.51
594,1629,2026-03-04,pendiente,2275.08
595,1184,2024-12-30,pendiente,1861.24
596,305,2026-01-22,enviado,329.75
597,233,2026-02-10,cancelado,3452.86
598,769,2025-07-28,pendiente,759.69
599,433,2024-09-17,enviado,903.95
600,1206,2025-07-29,cancelado,1381.91
601,1835,2025-11-06,pendiente,610.91
602,262,2024-08-20,entregado,1645.87
603,844,2025-08-29,entregado,2721.05
604,242,2026-01-21,enviado,1253.74
605,278,2024-06-26,enviado,3564.97
606,208,2025-04-11,entregado,1870.48
607,62,2025-10-22,entregado,2035.22
608,1722,2025-03-14,pagado,1391.18
609,649,2024-12-22,pendiente,1810.68
610,1753,2024-05-18,enviado,3254.93
611,813,2024-09-16,pagado,2095.64
612,1003,2025-12-18,cancelado,721.68
613,343,2024-02-27,cancelado,781.77
614,1728,2024-02-22,entregado,2565.41
615,456,2026-01-16,entregado,2788.79
616,1984,2025-03-11,pagado,1000.81
617,1150,2025-11-13,pendiente,453.44
618,1542,2026-02-23,enviado,1048.1
619,393,2025-10-03,cancelado,1417.79
620,205,2026-02-04,enviado,505.66
621,279,2024-10-18,pendiente,517.7
622,712,2025-09-17,entregado,4019.18
623,1597,2025-02-27,entregado,137.73
624,731,2025-04-23,enviado,1656.77
625,925,2024-10-26,pendiente,3634.18
626,461,2025-11-06,pendiente,731.24
627,260,2024-11-21,cancelado,1925.95
628,1111,2025-09-18,pagado,1220.87
629,189,2024-11-25,cancelado,3334.16
630,947,2025-03-29,cancelado,856.46
631,725,2024-03-12,cancelado,334.2
632,1803,2025-05-07,enviado,2379.9
633,866,2026-01-21,entregado,1573.97
634,1718,2024-07-14,entregado,2130.66
635,1288,2024-01-18,enviado,2458.67
636,848,2024-08-21,enviado,2648.08
637,526,2025-06-20,pagado,2113.97
638,892,2024-12-28,entregado,1031.54
639,666,2025-02-22,enviado,4146.3
640,1551,2025-07-03,pagado,2042.86
641,140,2025-03-18,cancelado,184.86
642,1129,2025-12-28,pendiente,107.89
643,757,2024-12-01,pagado,4129.42
644,1525,2024-06-22,pendiente,2053.61
645,1800,2024-05-02,pagado,2473.36
646,930,2025-01-19,pagado,3684.48
647,827,2026-03-10,pendiente,1834.98
648,194,2025-01-07,enviado,3502.35
649,1310,2024-03-14,cancelado,2254.76
650,107,2026-01-02,cancelado,1090.22
651,468,2025-04-16,pendiente,231.32
652,566,2024-08-07,pagado,1431.1
653,469,2025-03-20,pagado,3466.93
654,1309,2024-01-06,pagado,3935.57
655,1563,2025-11-04,pendiente,925.15
656,1599,2025-10-07,enviado,1673.34
657,1268,2025-07-22,enviado,440.65
658,876,2024-12-22,cancelado,1134.18
659,1223,2025-03-06,pendiente,2809.92
660,1088,2024-11-16,entregado,629.42
661,1516,2025-05-06,entregado,3339.33
662,1258,2025-10-25,enviado,603.59
663,1496,2024-02-15,entregado,3041.71
664,1407,2024-01-04,enviado,829.52
665,900,2024-01-26,cancelado,484.98
666,712,2026-03-03,cancelado,1528.86
667,1081,2024-08-17,enviado,387.75
668,1308,2025-07-26,pagado,4189.01
669,1996,2024-03-15,pagado,1727.5
670,1228,2025-07-11,cancelado,401.73
671,1362,2025-12-21,enviado,1805.54
672,253,2024-11-19,enviado,643.46
673,1955,2025-06-24,pagado,1085.72
674,870,2024-09-05,entregado,1326.72
675,890,2026-02-13,entregado,4025.88
676,178,2025-03-21,entregado,2844.24
677,1216,2026-02-16,cancelado,1479.41
