id,nombre,categoria_id,precio,stock
47,Volta Rede Max,7,1681.9,277
48,Volta Monitore Pro,4,3077.28,192
49,Tacna Teclado One,5,1151.87,211
50,Kairo Audi Pro,3,600.85,238
51,Orion Gamin Ultra,12,602.85,35
52,Kairo Monitore Max,4,1070.69,304
53,Sierra Impresió Core,8,2981.44,235
54,Tacna Rede Plus,7,3277.05,237
55,Nexo Gamin Pro,12,2008.03,127
56,Sierra Monitore One,4,1683.78,354
57,Kairo Gamin One,12,721.42,14
58,Andes Impresió Air,8,3563.76,179
59,Sierra Audi Ultra,3,712.27,59
60,Orion Cámara Air,11,1908.85,319
61,Nexo Accesorio One,9,3166.85,222
62,Lumen Componente Ultra,10,3792.81,163
63,Volta Rede Pro,7,3415.92,1
64,Kairo Componente One,10,3251.86,125
65,Sierra Laptop Plus,1,3533.65,305
66,Kairo Gamin Pro,12,3944.94,157
67,Orion Cámara Pro,11,3160.61,334
68,Kairo Componente Lite,10,2176.65,299
69,Orion Celulare Air,2,405.92,300
70,Tacna Monitore Air,4,3108.82,129
71,Nexo Monitore Plus,4,3137.64,263
72,Nexo Rede Lite,7,1116.87,104
73,Volta Audi Max,3,3746.17,88
74,Lumen Almacenamient Pro,6,2233.73,302
75,Lumen Rede Core,7,4102.93,257
76,Lumen Accesorio One,9,3458.1,155
77,Orion Gamin Air,12,1561.72,317
78,Orion Rede Core,7,1799.33,329
79,Lumen Laptop Core,1,2972.47,4
80,Andes Almacenamient Plus,6,310.12,64
81,Orion Rede One,7,4023.57,20
82,Lumen Teclado Pro,5,457.12,307
83,Kairo Teclado One,5,3401.31,336
84,Sierra Rede Lite,7,2298.03,35
85,Andes Rede One,7,815.69,134
86,Volta Monitore Pro,4,3022.46,352
87,Tacna Audi Max,3,1435.92,40
88,Volta Componente One,10,3232.82,342
89,Andes Laptop One,1,3338.06,41
90,Orion Rede Ultra,7,3967.01,93
91,Kairo Teclado Ultra,5,508.5,224
92,Volta Almacenamient Max,6,1910.75,274
93,Lumen Rede Max,7,3174.6,258
94,Lumen Cámara Pro,11,3464.64,220
95,Tacna Monitore Lite,4,1090.93,369
96,Andes Accesorio Ultra,9,813.6,63
97,Andes Audi One,3,2134.62,174
98,Orion Rede Max,7,3720.51,17
99,Lumen Impresió Lite,8,1526.94,345
100,Volta Componente Pro,10,3539.76,121
101,Tacna Audi Pro,3,2690.0,399
102,Lumen Cámara Max,11,3992.55,44
103,Nexo Almacenamient Plus,6,982.16,90
104,Tacna Audi Pro,3,2154.23,265
105,Volta Audi Air,3,1127.5,60
106,Kairo Gamin Lite,12,66.61,189
107,Andes Celulare Plus,2,1551.42,74
108,Orion Rede Lite,7,2197.33,220
109,Volta Almacenamient One,6,383.1,82
110,Lumen Audi One,3,2950.38,308
111,Sierra Monitore Max,4,3787.25,21
112,Orion Almacenamient One,6,2226.91,97
113,Andes Cámara Core,11,907.77,233
114,Nexo Rede Air,7,3390.57,290
115,Orion Impresió Max,8,3468.58,9
116,Volta Monitore Max,4,31.07,159
117,Nexo Rede Air,7,3038.51,195
118,Volta Componente Ultra,10,3212.67,93
119,Volta Cámara Lite,11,1330.58,74
120,Lumen Gamin Air,12,1438.44,237
121,Nexo Laptop Air,1,2123.86,50
122,Nexo Audi Plus,3,4195.36,338
123,Volta Rede Max,7,58.24,117
124,Kairo Monitore Plus,4,648.66,338
125,Andes Rede Plus,7,326.59,285
126,Kairo Laptop Pro,1,2607.82,21
127,Sierra Accesorio Pro,9,17.67,43
128,Orion Audi Air,3,2379.29,357
129,Sierra Impresió Pro,8,3699.49,365
130,Lumen Componente Air,10,1536.82,371
131,Nexo Accesorio Lite,9,1036.46,350
132,Orion Teclado One,5,2366.37,278
133,Volta Laptop Core,1,274.88,340
134,Kairo Audi Pro,3,785.14,28
135,Andes Gamin Pro,12,2447.17,323
136,Nexo Rede Lite,7,2429.67,390
137,Kairo Audi Air,3,2161.28,350
138,Tacna Gamin Core,12,2975.82,331
139,Nexo Laptop Air,1,2209.77,327
140,Andes Impresió Lite,8,3881.88,153
141,Andes Monitore Ultra,4,2751.71,260
142,Lumen Accesorio Air,9,2819.38,26
143,Sierra Celulare Air,2,614.78,368
144,Nexo Celulare Plus,2,2345.78,61
145,Nexo Celulare Ultra,2,1377.02,177
146,Lumen Gamin Lite,12,516.59,385
147,Orion Rede One,7,2817.66,28
148,Lumen Componente One,10,142.34,329
149,Orion Rede Core,7,2380.46,192
150,Orion Rede Ultra,7,4129.22,117
151,Andes Accesorio Pro,9,1334.53,119
152,Nexo Audi Pro,3,532.05,151
153,Orion Monitore Max,4,1322.44,215
154,Andes Rede Core,7,3907.29,221
155,Andes Celulare Plus,2,4088.5,248
156,Lumen Almacenamient Ultra,6,106.42,67
157,Andes Cámara Core,11,579.46,302
158,Kairo Componente Air,10,2204.67,258
159,Andes Gamin Pro,12,285.22,221
160,Lumen Impresió Lite,8,1177.25,190
161,Andes Teclado One,5,2905.31,89
162,Tacna Monitore Lite,4,666.82,144
163,Lumen Laptop Lite,1,2921.09,25
164,Nexo Rede Air,7,3898.88,45
165,Kairo Teclado Lite,5,1225.82,324
166,Kairo Gamin Plus,12,154.23,311
167,Kairo Gamin Air,12,565.9,124
168,Orion Celulare Core,2,2768.68,144
169,Tacna Cámara Ultra,11,2285.26,299
170,Volta Impresió Air,8,3770.83,189
171,Kairo Audi One,3,3243.35,74
172,Tacna Teclado Core,5,976.34,245
173,Tacna Accesorio Max,9,4146.11,398
174,Orion Impresió Core,8,1030.94,235
175,Nexo Monitore Pro,4,1917.24,238
176,Lumen Teclado Max,5,3320.4,353
177,Orion Audi One,3,3126.07,4
178,Volta Rede Ultra,7,3694.6,391
179,Kairo Teclado Max,5,1088.89,215
180,Lumen Componente Lite,10,194.35,66
181,Volta Laptop Core,1,1497.73,325
182,Nexo Monitore Pro,4,1774.12,202
183,Kairo Teclado Ultra,5,2154.83,101
184,Nexo Monitore Core,4,3154.41,389
185,Sierra Celulare Lite,2,1806.97,70
186,Sierra Teclado Ultra,5,972.96,161
187,Tacna Teclado One,5,86.21,98
188,Volta Impresió Core,8,3496.76,275
189,Andes Audi Ultra,3,101.72,98
190,Nexo Celulare One,2,1552.74,143
191,Lumen Audi Pro,3,582.04,146
192,Andes Rede Plus,7,4028.81,63
193,Tacna Almacenamient One,6,3441.36,256
194,Volta Accesorio Plus,9,2539.79,298
195,Orion Teclado One,5,2239.28,297
196,Tacna Impresió Pro,8,1429.77,92
197,Andes Accesorio Plus,9,2966.07,182
198,Kairo Accesorio Core,9,1664.77,209
199,Kairo Impresió One,8,3755.99,171
200,Volta Componente Ultra,10,786.39,155
201,Kairo Teclado Plus,5,1002.39,22
202,Kairo Teclado Plus,5,3531.64,26
203,Volta Gamin Air,12,3472.8,97
204,Nexo Cámara Air,11,1772.79,312
205,Andes Teclado Plus,5,3675.4,42
206,Lumen Cámara Lite,11,193.23,23
207,Sierra Impresió Ultra,8,1096.79,290
208,Kairo Cámara Max,11,3385.67,223
209,Andes Laptop Lite,1,452.97,319
210,Lumen Cámara Plus,11,521.9,329
211,Sierra Componente One,10,3090.58,282
212,Andes Componente Pro,10,1725.58,148
213,Andes Audi One,3,1445.35,399
214,Volta Accesorio Plus,9,3840.32,313
215,Volta Audi Core,3,571.53,16
216,Tacna Cámara Core,11,3132.9,334
217,Andes Rede Ultra,7,1938.88,71
218,Sierra Teclado Ultra,5,3674.63,2
219,Kairo Almacenamient Core,6,2404.6,173
220,Tacna Componente Plus,10,3800.84,326
221,Nexo Cámara Plus,11,451.13,141
222,Kairo Rede One,7,2281.56,205
223,Andes Rede One,7,572.22,84
224,Sierra Teclado Core,5,2280.96,41
225,Andes Almacenamient Plus,6,1079.49,57
226,Lumen Almacenamient Plus,6,2235.6,161
227,Tacna Monitore Plus,4,3340.24,363
228,Volta Audi Lite,3,2610.67,330
229,Sierra Teclado Lite,5,1802.95,123
230,Tacna Rede Pro,7,895.27,362
231,Lumen Accesorio One,9,1532.75,400
232,Kairo Laptop Air,1,3979.94,123
233,Tacna Celulare Max,2,2310.16,53
234,Sierra Teclado Lite,5,2076.01,334
235,Sierra Laptop Lite,1,1401.89,172
236,Lumen Monitore Plus,4,228.02,201
237,Kairo Gamin One,12,3633.56,283
238,Nexo Impresió One,8,2079.96,170
239,Orion Impresió Max,8,2922.74,377
240,Sierra Celulare Plus,2,2549.96,169
241,Sierra Impresió Lite,8,2247.31,87
242,Sierra Laptop Plus,1,3105.68,272
243,Kairo Rede Core,7,2052.59,114
244,Kairo Gamin Lite,12,1124.55,383
245,Volta Celulare Lite,2,2662.51,293
246,Lumen Almacenamient Air,6,3373.68,36
247,Sierra Laptop One,1,3321.26,94
248,Sierra Almacenamient Core,6,3138.98,303
249,Tacna Gamin One,12,3881.49,309
250,Nexo Audi Lite,3,2233.57,296
251,Sierra Audi Plus,3,1149.44,166
252,Volta Impresió Pro,8,1554.94,70
253,Nexo Rede Lite,7,1133.13,320
254,Andes Laptop One,1,2438.06,225
255,Kairo Audi Air,3,3488.54,329
256,Tacna Audi Lite,3,3731.45,231
257,Tacna Cámara Lite,11,952.54,240
258,Tacna Monitore Lite,4,81.42,320
259,Andes Rede One,7,3629.06,244
260,Tacna Componente Ultra,10,3077.07,265
261,Andes Teclado Core,5,3338.9,302
262,Kairo Componente Lite,10,2959.19,41
263,Kairo Teclado Lite,5,3284.7,297
264,Andes Rede Core,7,3750.93,57
265,Nexo Teclado Air,5,3343.33,38
266,Andes Cámara Core,11,3570.38,192
267,Volta Accesorio Core,9,3083.09,106
268,Orion Laptop Pro,1,2145.65,359
269,Lumen Monitore One,4,2194.28,55
270,Kairo Monitore Air,4,3857.43,304
271,Andes Celulare Air,2,1901.02,138
272,Andes Celulare One,2,2936.66,264
273,Kairo Impresió Lite,8,3750.12,224
274,Andes Impresió Lite,8,2493.05,22
275,Andes Gamin Pro,12,995.12,197
276,Kairo Audi Air,3,171.23,173
277,Tacna Componente One,10,2330.77,37
278,Nexo Componente Max,10,759.02,185
279,Sierra Audi Ultra,3,3024.63,390
280,Nexo Impresió Ultra,8,117.82,395
281,Tacna Accesorio Ultra,9,3886.94,8
282,Lumen Teclado Max,5,3036.32,255
283,Tacna Componente Max,10,1786.62,238
284,Volta Impresió One,8,3922.81,229
285,Lumen Rede Lite,7,3016.77,217
286,Lumen Cámara Lite,11,3599.73,139
287,Nexo Celulare One,2,1348.51,165
288,Sierra Rede Lite,7,1465.0,79
289,Kairo Accesorio Plus,9,2890.57,93
290,Nexo Componente Air,10,119.19,52
291,Sierra Almacenamient Core,6,2591.25,128
292,Sierra Monitore Pro,4,2052.87,373
293,Lumen Celulare Plus,2,2328.17,33
294,Nexo Accesorio Lite,9,3126.39,74
295,Orion Laptop One,1,1946.12,380
296,Tacna Teclado Max,5,211.35,81
297,Tacna Gamin Plus,12,362.36,57
298,Orion Accesorio Lite,9,602.37,15
299,Nexo Impresió Air,8,3947.57,12
300,Andes Componente Ultra,10,1416.37,298
301,Nexo Cámara Lite,11,351.13,170
302,Tacna Componente Air,10,3426.69,279
303,Tacna Celulare Ultra,2,3671.37,347
304,Kairo Monitore Air,4,773.34,183
305,Nexo Componente Plus,10,3155.87,48
306,Lumen Celulare Lite,2,2308.8,211
307,Sierra Monitore Ultra,4,2193.68,158
308,Lumen Accesorio Pro,9,2499.93,83
309,Lumen Accesorio One,9,3965.35,261
310,Tacna Accesorio Lite,9,1653.95,28
311,Tacna Accesorio One,9,1954.28,129
312,Nexo Celulare Pro,2,212.51,93
313,Andes Accesorio Max,9,2600.34,368
314,Andes Monitore Pro,4,2538.58,343
315,Volta Cámara Air,11,2956.14,243
316,Volta Almacenamient One,6,2480.22,327
317,Nexo Componente Lite,10,74.32,231
318,Sierra Componente Plus,10,2620.03,130
319,Sierra Teclado Air,5,333.72,60
320,Volta Componente Lite,10,2839.18,221
321,Volta Teclado Plus,5,3525.87,322
322,Kairo Teclado Pro,5,1025.97,298
323,Orion Audi Lite,3,415.16,384
324,Sierra Accesorio Air,9,2607.58,300
325,Volta Impresió Plus,8,3109.86,180
326,Volta Celulare Lite,2,2903.15,247
327,Nexo Celulare Air,2,1280.11,368
328,Kairo Gamin One,12,2496.4,388
329,Nexo Accesorio Pro,9,4169.75,153
330,Orion Audi Pro,3,3732.71,317
331,Volta Gamin Core,12,2917.45,318
332,Lumen Teclado Air,5,1659.44,282
333,Nexo Almacenamient Core,6,998.92,192
334,Volta Cámara One,11,3162.15,14
335,Volta Rede Ultra,7,3269.57,141
336,Sierra Monitore Max,4,3013.63,247
337,Nexo Gamin Lite,12,3333.22,144
338,Orion Almacenamient Lite,6,3643.5,335
339,Kairo Componente Core,10,1190.92,372
340,Andes Accesorio Core,9,2298.34,48
341,Orion Cámara Pro,11,2852.97,385
342,Lumen Impresió Pro,8,1207.69,47
343,Andes Almacenamient Plus,6,888.83,209
344,Tacna Accesorio Ultra,9,3976.87,301
345,Lumen Gamin Air,12,428.55,330
346,Orion Rede Air,7,1443.28,48
347,Kairo Teclado Plus,5,3734.25,329
348,Nexo Impresió Core,8,1962.33,228
349,Lumen Teclado One,5,3811.96,34
350,Andes Gamin Lite,12,3401.97,285
351,Orion Gamin Max,12,1674.23,68
352,Orion Almacenamient Core,6,3347.61,367
353,Lumen Almacenamient Max,6,2281.9,176
354,Nexo Impresió Pro,8,1699.47,318
355,Volta Almacenamient One,6,4109.57,236
356,Tacna Accesorio Lite,9,2548.33,159
357,Orion Gamin Core,12,3691.0,120
358,Lumen Teclado Pro,5,3981.09,399
359,Andes Cámara Pro,11,1141.2,154
360,Tacna Rede Lite,7,2571.01,315
361,Lumen Componente Max,10,877.57,219
362,Orion Almacenamient One,6,1053.44,276
363,Lumen Rede Pro,7,2334.39,281
364,Kairo Accesorio Max,9,2605.11,371
365,Orion Monitore Lite,4,1272.77,396
366,Orion Accesorio Pro,9,3882.09,207
367,Sierra Cámara Plus,11,535.16,23
368,Nexo Cámara Plus,11,2432.82,244
369,Lumen Impresió Max,8,3174.77,149
370,Tacna Cámara Core,11,168.9,396
371,Tacna Celulare Ultra,2,2348.1,129
372,Volta Accesorio Max,9,139.86,2
373,Andes Cámara Max,11,2091.39,57
374,Kairo Gamin Pro,12,1511.21,17
375,Tacna Laptop Air,1,1925.6,210
376,Nexo Cámara One,11,2612.49,400
377,Orion Accesorio Max,9,3586.44,182
378,Andes Componente Core,10,2288.9,103
379,Tacna Monitore Plus,4,2771.66,234
380,Orion Cámara Plus,11,2284.34,291
381,Kairo Componente Core,10,2420.2,25
382,Nexo Celulare Max,2,4071.18,224
383,Tacna Monitore Core,4,3451.0,76
384,Lumen Rede Ultra,7,2015.67,258
385,Volta Cámara Ultra,11,2541.75,322
386,Kairo Monitore Plus,4,4093.98,174
387,Kairo Teclado Lite,5,1777.5,133
388,Orion Monitore One,4,2775.41,63
389,Andes Componente Plus,10,2389.34,216
390,Tacna Accesorio One,9,1026.21,178
391,Lumen Cámara Lite,11,1151.58,282
392,Kairo Rede Lite,7,2367.34,286
393,Lumen Impresió Pro,8,1929.85,277
394,Nexo Audi Lite,3,1150.6,279
395,Kairo Impresió Core,8,3111.59,149
396,Kairo Teclado Max,5,1344.24,21
397,Orion Teclado Lite,5,2602.61,334
398,Nexo Teclado Air,5,1905.91,284
399,Andes Gamin Pro,12,2890.94,105
400,Orion Monitore Core,4,2148.71,310
401,Volta Impresió Ultra,8,4193.83,310
402,Nexo Cámara Pro,11,423.02,197
403,Tacna Impresió Air,8,3949.24,243
404,Tacna Teclado One,5,48.8,63
405,Andes Laptop Ultra,1,368.36,318
406,Tacna Laptop Max,1,2066.49,373
407,Andes Monitore One,4,3820.02,212
408,Lumen Celulare Max,2,2146.02,149
409,Tacna Cámara Max,11,300.89,231
410,Andes Impresió Plus,8,370.65,121
411,Orion Rede One,7,65.73,129
412,Nexo Celulare Pro,2,465.32,249
413,Orion Componente Max,10,2375.57,354
414,Andes Cámara Core,11,3063.62,178
415,Sierra Gamin Max,12,1238.19,326
416,Kairo Celulare Plus,2,2539.92,201
417,Orion Accesorio Plus,9,3374.06,197
418,Kairo Celulare One,2,3563.79,221
419,Volta Accesorio Ultra,9,804.47,77
420,Tacna Accesorio One,9,3987.38,98
421,Lumen Accesorio Ultra,9,1136.0,289
422,Andes Componente Lite,10,2537.55,108
423,Lumen Componente Ultra,10,1896.17,223
424,Tacna Monitore Plus,4,902.64,179
425,Volta Impresió Air,8,3083.46,161
426,Nexo Rede Core,7,3052.28,113
427,Andes Teclado One,5,324.98,84
428,Nexo Celulare Lite,2,250.32,37
429,Orion Gamin Lite,12,244.04,394
430,Orion Impresió Ultra,8,93.6,384
431,Orion Accesorio Core,9,305.05,137
432,Sierra Rede Core,7,3993.57,203
433,Sierra Impresió Ultra,8,2837.71,181
434,Sierra Gamin Air,12,2436.93,390
435,Kairo Almacenamient Plus,6,3640.49,361
436,Andes Audi Core,3,1542.8,389
437,Nexo Cámara Max,11,93.97,234
438,Orion Accesorio Air,9,662.9,348
439,Nexo Impresió Pro,8,208.59,104
440,Lumen Monitore Air,4,3788.46,357
441,Andes Cámara Core,11,3016.44,15
442,Tacna Teclado Plus,5,1249.88,1
443,Kairo Componente Core,10,2367.87,294
444,Tacna Impresió Pro,8,2146.33,370
445,Nexo Accesorio Ultra,9,3102.91,283
446,Tacna Accesorio Air,9,778.71,341
447,Tacna Componente Max,10,3760.85,6
448,Lumen Accesorio Air,9,3662.95,309
449,Andes Teclado Plus,5,4064.67,287
450,Lumen Componente Max,10,3732.95,382
451,Sierra Laptop Lite,1,368.03,348
452,Andes Audi Plus,3,2954.84,318
453,Volta Almacenamient Lite,6,444.35,28
454,Andes Celulare Pro,2,3037.94,148
455,Volta Accesorio Pro,9,3024.85,256
456,Andes Almacenamient Ultra,6,713.71,72
457,Sierra Audi Plus,3,2019.5,217
458,Nexo Teclado Max,5,3278.79,104
459,Nexo Rede Max,7,1600.02,319
460,Nexo Audi Air,3,1164.36,363
461,Tacna Laptop Plus,1,1737.63,63
462,Nexo Accesorio Ultra,9,3452.54,106
463,Tacna Almacenamient Air,6,306.36,92
464,Kairo Laptop Air,1,2127.43,21
465,Lumen Accesorio Lite,9,1167.31,268
466,Kairo Teclado Max,5,1512.79,52
467,Kairo Accesorio Air,9,1358.24,368
468,Sierra Cámara Max,11,3587.44,336
469,Nexo Componente Plus,10,1800.39,154
470,Tacna Laptop One,1,1412.15,17
471,Tacna Monitore Air,4,425.92,9
472,Volta Teclado Ultra,5,2099.48,280
473,Sierra Monitore Max,4,3364.15,301
474,Sierra Monitore Lite,4,3565.13,139
475,Lumen Componente Max,10,1629.08,8
476,Nexo Impresió Air,8,703.21,185
477,Tacna Almacenamient Core,6,1141.32,292
478,Volta Rede Ultra,7,1593.64,258
479,Kairo Laptop Ultra,1,205.43,313
480,Andes Monitore Plus,4,4153.05,110
481,Orion Teclado Max,5,1101.05,72
482,Tacna Cámara Pro,11,3103.76,208
483,Lumen Laptop Max,1,3014.99,79
484,Orion Laptop Ultra,1,4114.15,24
485,Volta Celulare Max,2,3393.54,331
486,Tacna Cámara Max,11,1710.07,3
487,Sierra Cámara Max,11,1665.29,233
488,Tacna Gamin One,12,547.57,112
489,Kairo Laptop Lite,1,1865.87,130
490,Kairo Impresió Pro,8,1944.22,13
491,Orion Monitore Ultra,4,1866.34,324
492,Lumen Componente Pro,10,3104.23,169
493,Kairo Impresió Pro,8,727.97,235
494,Kairo Impresió Ultra,8,223.65,394
495,Volta Celulare Ultra,2,2647.18,177
496,Nexo Gamin Ultra,12,37.98,162
497,Orion Monitore Lite,4,2101.25,382
498,Lumen Accesorio Lite,9,3256.89,177
499,Volta Gamin Plus,12,167.9,208
500,Tacna Impresió Ultra,8,778.25,102
501,Volta Celulare Pro,2,3345.35,232
502,Sierra Teclado Pro,5,3053.92,138
503,Andes Gamin Air,12,3833.65,59
504,Nexo Accesorio Lite,9,2858.94,386
505,Orion Cámara Core,11,596.36,77
506,Lumen Cámara Max,11,87.42,396
507,Sierra Impresió Core,8,628.74,316
508,Orion Celulare Pro,2,2433.98,288
509,Tacna Accesorio One,9,2628.71,5
510,Lumen Accesorio Pro,9,1482.39,57
511,Orion Impresió Air,8,3694.7,325
512,Orion Audi Core,3,101.35,378
513,Orion Audi Plus,3,552.63,144
514,Nexo Rede One,7,3361.58,174
515,Kairo Componente Air,10,1435.72,305
516,Volta Laptop Core,1,2703.55,3
517,Volta Teclado One,5,2727.74,52
518,Kairo Laptop Ultra,1,1391.96,142
519,Sierra Celulare Pro,2,824.02,349
520,Nexo Celulare Plus,2,2321.6,65
521,Kairo Cámara Max,11,2618.21,73
522,Lumen Cámara Core,11,3634.73,265
523,Nexo Accesorio Ultra,9,3822.63,288
524,Tacna Cámara Max,11,3926.76,108
525,Tacna Componente Pro,10,2984.14,290
526,Andes Teclado Lite,5,3248.37,45
527,Tacna Celulare Plus,2,2462.0,315
528,Kairo Rede Pro,7,2801.73,297
529,Sierra Accesorio Ultra,9,951.68,224
530,Nexo Cámara Lite,11,1036.57,253
531,Lumen Audi Plus,3,3314.14,59
532,Andes Celulare Core,2,2818.0,356
533,Andes Almacenamient Max,6,2653.06,151
534,Nexo Teclado Core,5,2331.71,349
535,Sierra Accesorio Max,9,2618.17,93
536,Andes Audi Air,3,3938.58,236
537,Lumen Almacenamient Pro,6,3168.29,152
538,Sierra Audi Lite,3,3228.02,225
539,Sierra Gamin Pro,12,1469.54,312
540,Orion Audi One,3,3123.08,184
541,Orion Celulare Pro,2,2890.86,65
542,Lumen Impresió Plus,8,323.52,153
543,Andes Monitore Max,4,3865.67,240
544,Nexo Audi Plus,3,3333.93,294
545,Lumen Componente Lite,10,1920.12,102
546,Tacna Impresió Max,8,736.24,6
547,Orion Audi Plus,3,270.35,94
548,Lumen Monitore Air,4,516.8,214
549,Orion Teclado Air,5,2247.72,106
550,Kairo Componente Air,10,917.27,318
551,Sierra Teclado Lite,5,273.09,275
552,Volta Componente Pro,10,4016.14,269
553,Kairo Accesorio Core,9,2846.28,270
554,Tacna Teclado Core,5,3849.14,15
555,Nexo Gamin Ultra,12,3482.99,28
556,Volta Impresió Ultra,8,3534.96,339
557,Nexo Audi Pro,3,4006.1,14
558,Nexo Impresió Core,8,3034.82,247
559,Tacna Cámara One,11,197.07,18
560,Andes Monitore Air,4,836.32,180
561,Sierra Laptop Core,1,1182.71,270
562,Tacna Audi One,3,1238.43,24
563,Nexo Almacenamient Lite,6,1278.1,320
564,Orion Gamin Max,12,3072.38,16
565,Tacna Almacenamient Max,6,2690.9,160
566,Kairo Componente Lite,10,2165.82,290
567,Sierra Gamin Ultra,12,2470.4,185
568,Volta Componente One,10,587.83,240
569,Orion Monitore Pro,4,3131.23,280
570,Lumen Laptop Air,1,3843.78,72
571,Andes Accesorio One,9,1843.09,116
572,Tacna Monitore Air,4,451.94,74
573,Andes Monitore Pro,4,3252.73,99
574,Tacna Accesorio Core,9,3234.98,342
575,Orion Laptop Air,1,749.34,350
576,Lumen Monitore Ultra,4,1797.39,68
577,Volta Teclado Pro,5,325.81,23
578,Lumen Celulare One,2,249.07,70
579,Andes Teclado Pro,5,833.94,381
580,Kairo Audi Ultra,3,3631.34,65
581,Orion Audi Lite,3,1638.71,131
582,Orion Gamin Ultra,12,207.86,363
583,Sierra Almacenamient Air,6,3003.69,343
584,Volta Accesorio Plus,9,2325.52,108
585,Andes Cámara Plus,11,351.99,362
586,Andes Almacenamient One,6,1606.88,244
587,Kairo Componente Ultra,10,1463.46,333
588,Kairo Teclado Lite,5,2697.47,125
589,Tacna Laptop Ultra,1,2414.95,339
590,Nexo Almacenamient Plus,6,2308.68,211
591,Orion Teclado Air,5,1019.12,375
592,Kairo Cámara Pro,11,167.51,194
593,Orion Rede One,7,886.52,161
594,Nexo Celulare Ultra,2,79.38,30
595,Sierra Monitore Ultra,4,4187.36,3
596,Lumen Laptop Lite,1,3367.34,173
597,Tacna Audi Max,3,659.52,181
598,Lumen Audi Plus,3,2504.22,136
599,Nexo Gamin Core,12,3432.88,76
600,Tacna Rede Plus,7,2570.58,343
601,Lumen Gamin Core,12,1575.46,293
602,Volta Rede Core,7,3641.56,212
603,Volta Cámara Core,11,3834.05,1
604,Orion Gamin One,12,3648.21,46
605,Tacna Rede Plus,7,4095.54,352
606,Andes Componente One,10,1282.62,72
607,Nexo Monitore Air,4,294.32,223
608,Tacna Impresió Air,8,3423.42,49
609,Volta Celulare Ultra,2,1625.45,262
610,Sierra Accesorio Pro,9,1342.9,225
611,Andes Teclado Pro,5,374.39,248
612,Tacna Accesorio Core,9,517.11,84
613,Tacna Laptop Ultra,1,997.66,344
614,Sierra Almacenamient Core,6,3370.62,3
615,Andes Accesorio Pro,9,2621.79,69
616,Kairo Componente Max,10,2562.75,346
617,Volta Gamin Lite,12,1883.01,159
618,Andes Componente Ultra,10,348.05,341
619,Sierra Almacenamient One,6,2312.33,115
620,Volta Gamin Plus,12,3407.86,135
621,Orion Rede Max,7,1495.86,378
622,Sierra Almacenamient Lite,6,2226.49,210
623,Volta Laptop Max,1,1914.88,190
624,Nexo Rede One,7,25.07,378
625,Nexo Celulare One,2,3007.1,226
626,Andes Cámara Plus,11,1810.95,41
627,Volta Monitore Pro,4,32.86,256
628,Kairo Almacenamient Core,6,1302.19,389
629,Kairo Impresió One,8,3376.22,58
630,Lumen Audi Lite,3,3799.28,258
631,Kairo Gamin One,12,2046.84,60
632,Volta Audi Lite,3,3199.23,78
633,Nexo Rede Air,7,2796.7,12
634,Kairo Cámara Plus,11,1574.85,200
635,Tacna Componente Ultra,10,3586.51,170
636,Orion Laptop Core,1,33.65,46
637,Tacna Audi Plus,3,559.42,156
638,Nexo Almacenamient Plus,6,2794.7,349
639,Sierra Rede Max,7,2237.54,382
